"page","text","x0","x1","top","bottom","page_width","font_name","font_size","line_center","page_center","center_score","left_ratio","width_ratio","is_all_caps","label"
"1","PERATURAN BADAN PUSAT STATISTIK","181.05","411.8219999999999","199.55000000000007","211.55000000000007","595.4","BCDEEE+BookmanOldStyle","12.0","296.4359999999999","297.7","0.0021229425596238946","0.3040812898891502","0.3875915351024519","True","JUDUL_PERATURAN"
"1","NOMOR 7 TAHUN 2025","227.27","365.498","213.75","225.75","595.4","BCDEEE+BookmanOldStyle","12.0","296.384","297.7","0.0022102788041652235","0.381709774941216","0.23215989250923746","True","JUDUL_PERATURAN"
"1","TENTANG","267.3","325.68000000000006","227.75","239.75","595.4","BCDEEE+BookmanOldStyle","12.0","296.49","297.7","0.0020322472287537447","0.44894188780651667","0.09805172992945928","True","JUDUL_PERATURAN"
"1","KLASIFIKASI BAKU LAPANGAN USAHA INDONESIA","145.25","447.31399999999985","241.95000000000005","253.95000000000005","595.4","BCDEEE+BookmanOldStyle","12.0","296.2819999999999","297.7","0.0023815922069198242","0.24395364460866645","0.5073295263688274","True","JUDUL_PERATURAN"
"1","DENGAN RAHMAT TUHAN YANG MAHA ESA","165.25","427.33","270.15","282.15","595.4","BCDEEE+BookmanOldStyle","12.0","296.28999999999996","297.7","0.0023681558616056855","0.2775445078938529","0.440174672489083","True","JUDUL_PERATURAN"
"1","KEPALA BADAN PUSAT STATISTIK,","192.47","400.22599999999994","298.1700000000001","310.1700000000001","595.4","BCDEEE+BookmanOldStyle","12.0","296.34799999999996","297.7","0.002270742358078657","0.32326167282499163","0.3489351696338595","True","JUDUL_PERATURAN"
"1","Menimbang : a. bahwa untuk memberikan keseragaman konsep,","70.825","524.2439999999999","340.57000000000005","352.57000000000005","595.4","BCDEEE+BookmanOldStyle","12.0","297.5345","297.7","0.0002779643936849322","0.11895364460866645","0.7615367819952972","False","KONSIDERAN"
"1","definisi, dan klasifikasi lapangan usaha yang sesuai","198.48","524.328","354.57000000000005","366.57000000000005","595.4","BCDEEE+BookmanOldStyle","12.0","361.404","297.7","0.10699361773597584","0.33335572724219015","0.5472757809875713","False","KONSIDERAN"
"1","dengan perkembangan dan pergeseran kegiatan","198.48","524.1359999999999","368.77","380.77","595.4","BCDEEE+BookmanOldStyle","12.0","361.30799999999994","297.7","0.10683238159220683","0.33335572724219015","0.5469533087000333","False","KONSIDERAN"
"1","ekonomi di Indonesia, perlu mengatur kembali","198.48","524.3759999999999","382.77","394.77","595.4","BCDEEE+BookmanOldStyle","12.0","361.42799999999994","297.7","0.10703392677191796","0.33335572724219015","0.5473563990594555","False","KONSIDERAN"
