"page","text","x0","x1","top","bottom","page_width","font_name","font_size","line_center","page_center","center_score","left_ratio","width_ratio","is_all_caps","sistematika","unsur"
"1","UNDANG-UNDANG REPUBLIK INDONESIA","180.59992775999999","431.7861034284305","211.80028968","223.80028487999994","612.0","LGAZPG+BookmanOldStyle","11.999995199999944","306.19301559421524","306.0","0.00031538495786803856","0.29509792117647055","0.410434927562795","True","JUDUL",""
"1","NOMOR 12 TAHUN 2011","233.27992281299353","378.7216489434442","230.16028233600002","242.16027753599997","612.0","LGAZPG+BookmanOldStyle","11.999995199999944","306.0007858782189","306.0","1.2841147367514163e-06","0.3811763444656757","0.23764987929812204","True","JUDUL",""
"1","TENTANG","276.83407953832386","335.1480623155979","254.52027259199997","266.5202677919999","612.0","LGAZPG+BookmanOldStyle","11.999995199999944","305.9910709269609","306.0","1.4589988625977961e-05","0.4523432672194834","0.09528428558378108","True","JUDUL",""
"1","PEMBENTUKAN PERATURAN PERUNDANG-UNDANGAN","140.75961703813064","471.3599705969738","278.760262896","290.7602580959999","612.0","LGAZPG+BookmanOldStyle","11.999995199999944","306.05979381755225","306.0","9.770231626184186e-05","0.2299993742453115","0.5401966561419006","True","JUDUL",""
"1","DENGAN RAHMAT TUHAN YANG MAHA ESA","174.95928502825797","437.1627754806825","333.720240912","345.72023611199995","612.0","LGAZPG+BookmanOldStyle","11.999995199999944","306.0610302544702","306.0","9.97226380232203e-05","0.28588118468669604","0.4284370759026545","True","PEMBUKAAN","FRASA RELIGIUS"
"1","PRESIDEN REPUBLIK INDONESIA,","203.39924026227132","408.84067564811113","352.08023356800004","364.080228768","612.0","LGAZPG+BookmanOldStyle","11.999995199999944","306.11995795519124","306.0","0.0001960097307046394","0.33235169977495316","0.33568861991150295","True","PEMBUKAAN","PEMBENTUK PPU"
"1","Menimbang : a. bahwa untuk mewujudkan Indonesia sebagai negara","85.079965968","524.143408099559","388.68021892799993","400.6802141279999","612.0","LGAZPG+BookmanOldStyle","11.999995199999944","304.6116870337795","306.0","0.00226848523892238","0.1390195522352941","0.7174239250515669","False","PEMBUKAAN","KONSIDERANS"
"1","hukum, negara berkewajiban melaksanakan","198.479920608","524.0228549858028","406.920211632","418.92020683199996","612.0","LGAZPG+BookmanOldStyle","11.999995199999944","361.25138779690144","306.0","0.0902800454197736","0.32431359576470586","0.5319328993101354","False","PEMBUKAAN","KONSIDERANS"
"1","pembangunan hukum nasional yang dilakukan secara","198.479920608","524.1317086710266","425.280204288","437.280199488","612.0","LGAZPG+BookmanOldStyle","11.9999952","361.3058146395133","306.0","0.09036897816913939","0.32431359576470586","0.532110764808867","False","PEMBUKAAN","KONSIDERANS"
"1","terencana, terpadu, dan berkelanjutan dalam sistem","198.479920608","524.2685715552936","443.640196944","455.640192144","612.0","LGAZPG+BookmanOldStyle","11.9999952","361.3742460816468","306.0","0.09048079425105685","0.32431359576470586","0.532334396972702","False","PEMBUKAAN","KONSIDERANS"
"1","hukum nasional yang menjamin pelindungan hak dan","198.479920608","524.1385823781578","461.880189648","473.880184848","612.0","LGAZPG+BookmanOldStyle","11.9999952","361.30925149307893","306.0","0.09037459394293944","0.32431359576470586","0.5321219963564671","False","PEMBUKAAN","KONSIDERANS"
"1","kewajiban segenap rakyat Indonesia berdasarkan","198.479920608","524.1438723057266","480.24018230400003","492.24017750400003","612.0","LGAZPG+BookmanOldStyle","11.9999952","361.31189645686334","306.0","0.09037891577918845","0.32431359576470586","0.5321306400289652","False","PEMBUKAAN","KONSIDERANS"
"1","Undang-Undang Dasar Negara Republik Indonesia","198.479920608","524.26942346296","498.48017500800006","510.48017020800006","612.0","LGAZPG+BookmanOldStyle","11.9999952","361.37467203548","306.0","0.09048149025405226","0.32431359576470586","0.5323357889786929","False","PEMBUKAAN","KONSIDERANS"
"1","Tahun 1945;","198.47406123403303","274.184036183116","516.8401676640001","528.840162864","612.0","LGAZPG+BookmanOldStyle","11.9999952","236.32904870857453","306.0","0.11384142367879978","0.324304021624237","0.12370910939392643","False","PEMBUKAAN","KONSIDERANS"
"1","b. bahwa untuk memenuhi kebutuhan masyarakat atas","182.99995261367897","524.1383244900658","541.20015792","553.2001531200001","612.0","LGAZPG+BookmanOldStyle","11.9999952","353.56913855187236","306.0","0.07772735057495483","0.29901953041450813","0.5574156403208935","False","PEMBUKAAN","KONSIDERANS"
"1","peraturan perundang-undangan yang baik, perlu","198.359920656","524.2531759078981","559.440150624","571.440145824","612.0","LGAZPG+BookmanOldStyle","11.9999952","361.30654828194906","306.0","0.09037017693128932","0.32411751741176476","0.5325053190390493","False","PEMBUKAAN","KONSIDERANS"
"1","dibuat peraturan mengenai pembentukan peraturan","198.359920656","524.1380933708257","577.80014328","589.80013848","612.0","LGAZPG+BookmanOldStyle","11.9999952","361.24900701341284","306.0","0.09027615525067458","0.32411751741176476","0.5323172756778197","False","PEMBUKAAN","KONSIDERANS"
"1","perundang-undangan yang dilaksanakan dengan cara","198.359920656","524.1224980944708","596.040135984","608.0401311840001","612.0","LGAZPG+BookmanOldStyle","11.9999952","361.24120937523537","306.0","0.0902634140118225","0.32411751741176476","0.5322917932001157","False","PEMBUKAAN","KONSIDERANS"
"1","dan metode yang pasti, baku, dan standar yang","198.359920656","524.2679156301673","614.40012864","626.4001238400001","612.0","LGAZPG+BookmanOldStyle","11.9999952","361.31391814308364","306.0","0.09038221918804516","0.32411751741176476","0.532529403552561","False","PEMBUKAAN","KONSIDERANS"
"1","mengikat semua lembaga yang berwenang membentuk","198.359920656","524.1475408388658","632.6401213440001","644.6401165440001","612.0","LGAZPG+BookmanOldStyle","11.9999952","361.2537307474329","306.0","0.09028387377031517","0.32411751741176476","0.5323327127171009","False","PEMBUKAAN","KONSIDERANS"
"1","peraturan perundang-undangan;","198.359920656","393.2132533191235","651.000114","663.0001092","612.0","LGAZPG+BookmanOldStyle","11.9999952","295.78658698756175","306.0","0.016688583353657273","0.32411751741176476","0.31838779846915605","False","PEMBUKAAN","KONSIDERANS"
"1","c. bahwa dalam Undang-Undang Nomor 10 Tahun 2004","182.99988751201573","524.0225197641997","675.3601042560001","687.3600994560001","612.0","LGAZPG+BookmanOldStyle","11.99999520000003","353.51120363810776","306.0","0.07763268568318261","0.29901942403924137","0.5572265232878824","False","PEMBUKAAN","KONSIDERANS"
"1","tentang Pembentukan Peraturan Perundang-undangan","198.359880699616","524.1228582613165","693.6000969600001","705.6000921600001","612.0","LGAZPG+BookmanOldStyle","11.9999952","361.2413694804663","306.0","0.09026367562167695","0.3241174521235556","0.5322924469962427","False","PEMBUKAAN","KONSIDERANS"
